Id,Name,Address,Email,Designation
0,Sowmya,776 B Block Mahalakshmi Layout,Sowmya@gmail.com,FinancialOfficer
1,Swathi,87 A Block Navrang,swathi@gmail.com,LegalOfficer
2,Triveni,77 4th cross Basavangudi,triveni@gmail.com,MarketingOfficer
3,Shalini,45 3rd cross Rajajinagar,shalini@gmail.com,TechnologyOfficer
4,Aishwarya,66 B Block Nandhini Layout,aish@gmail.com,FinancialOfficer
5,Meena,97 A Block RLayout,meena@gmail.com,LegalOfficer
6,Radha,76 6th cross Mahalakshmi Layout,radha@gmail.com,MarketingOfficer
7,Lakshmi,34 B Block JPSLayout,laks@gmail.com,TechnologyOfficer
8,Roopa,23 A Block ESI,roopa@gmail.com,FinancialOfficer
9,Divya,37 5th cross Jayanagar,divya@gmail.com,LegalOfficer
10,Deepa,69 B Block Kamalanagar,deepa@gmail.com,MarketingOfficer
